RT;leg;div;strate;hum;phos;ary;glu;ure;NH4
7;Leg-;Div2;2;5.333333333;28.11048895;2.720268461;8.39811859;3.352781176;0.434204998
7;Leg-;Div2;3;4.12371134;24.54760717;2.638772314;7.683867354;3.171617308;0.41983671
7;Leg-;Div2;4;8.536585366;25.44567327;2.920108718;8.323623235;3.376467154;0.439410146
8;Leg-;Div3;1;3.95869191;24.61517351;2.232831829;6.287000637;1.699047663;0.4122328
8;Leg-;Div3;2;4.201680672;23.30950937;2.370944562;6.324611746;1.730331417;0.29378711
8;Leg-;Div3;3;4.338153504;23.12745541;2.422435949;6.202665883;1.474806415;0.252912379
8;Leg-;Div3;4;4.893964111;26.01846977;2.964161256;6.520332584;2.053168219;0.240315187
9;Leg-;Div0;1;3.95738204;26.36939463;2.215711405;7.117378042;2.212649922;0.285449539
9;Leg-;Div0;2;4.155124654;20.47712808;2.299469694;5.017004572;1.764217645;0.259695881
9;Leg-;Div0;3;4.194260486;19.6387114;2.315550323;5.037120973;1.297213534;0.250978409
9;Leg-;Div0;4;10.75862069;26.01846977;2.964161256;6.520332584;2.053168219;0.254602414
10;Leg-;Div1;1;4.261796043;26.36939463;2.215711405;7.117378042;2.212649922;0.249001456
10;Leg-;Div1;2;3.617571059;22.36317216;2.315697656;6.523807173;1.780931349;0.263786966
10;Leg-;Div1;3;10.58394161;24.40589174;2.688904494;6.80702467;1.497329161;0.262728098
10;Leg-;Div1;4;6.676557864;22.67042565;2.517874534;6.10344952;1.891464196;0.345800166
11;Leg+;Div0;1;8.610567515;25.26878696;2.183826669;6.964563883;2.406657775;0.291190737
11;Leg+;Div0;2;3.59168242;21.73517733;2.537795817;6.219764988;1.737888675;0.315631205
11;Leg+;Div0;3;4.700162075;21.33607456;2.671111006;6.097870381;1.641148514;0.259645866
11;Leg+;Div0;4;9.933774834;24.61386812;3.112361156;7.12994022;2.010901086;0.287096832
12;Leg+;Div1;1;4.577968526;26.31852613;2.18898404;7.269467404;2.187773745;0.280316843
12;Leg+;Div1;2;5.464480874;25.2480018;2.432812306;6.769195709;1.977200572;0.273904134
12;Leg+;Div1;3;5.375139978;24.15933409;2.491039187;6.453837216;1.664248798;0.261039996
12;Leg+;Div1;4;9.439528024;23.81191512;2.653944806;6.574450871;2.746548399;0.294045408
13;Leg+;Div2;1;5.283018868;23.61938832;2.071076398;5.868153909;3.096779383;0.312992246
13;Leg+;Div2;2;5.182926829;23.18981684;2.411877108;6.174434821;2.321907492;0.298592359
13;Leg+;Div2;3;6.25;23.24571029;2.292036732;5.933389758;1.81144608;0.286757538
13;Leg+;Div2;4;13.17829457;26.19257288;3.396987042;7.382237741;1.996979304;0.291132204
14;Leg+;Div3;1;6.218274112;26.59649046;1.893680053;6.81831845;1.721002511;0.320233946
14;Leg+;Div3;2;5.205479452;26.17477763;2.214249671;7.443941594;1.663786518;0.301914659
14;Leg+;Div3;3;5.505617978;24.43680143;2.288041934;7.34621966;1.783103652;0.294900578
14;Leg+;Div3;4;12.78600269;27.38840385;2.914105765;7.849493166;2.524247769;0.289564576
15;Leg+;Div0;1;4.255319149;25.05435018;1.982463219;7.493719436;3.573204679;0.307448195
15;Leg+;Div0;2;3.448275862;23.51066891;2.454969597;7.529897537;3.108268968;0.401825164
15;Leg+;Div0;3;4.838709677;22.50799283;2.64569329;7.322395317;3.646656233;0.395657025
15;Leg+;Div0;4;8.955223881;24.46867882;2.963810846;8.162921296;3.366355575;0.4089096
16;Leg+;Div1;1;2.985074627;29.42741138;2.168456394;8.747932409;3.260973162;0.36794302
16;Leg+;Div1;2;5.454545455;25.13302526;2.476394969;8.570894137;2.853390463;0.335188571
16;Leg+;Div1;3;3.571428571;24.58798862;2.504995764;7.620521086;2.265802911;0.349848772
16;Leg+;Div1;4;6.756756757;23.28555493;2.536134823;7.17990243;2.941050334;0.354702933
17;Leg+;Div2;1;6.451612903;24.52498071;2.324428746;6.754476852;3.320510142;0.490639505
17;Leg+;Div2;2;7.792207792;23.86824074;2.463678961;7.694814013;3.192891266;0.340234896
