RT;leg;div;A.longa;L.terrestris;A.giardi;A.caliginosa;A.icterica;long;nbNodes;connec
2;Leg-;Div1;0;1;0;7;4;20.82882353;1068;0.001674336
3;Leg-;Div2;0;0;1;7;4;27.47714286;1412;0.001343652
4;Leg-;Div3;1;1;0;0;5;26.25647059;1233;0.001394287
6;Leg-;Div1;0;1;0;7;4;24.95831933;1554;0.001102197
7;Leg-;Div2;0;0;1;7;4;27.36798319;1725;0.000998016
8;Leg-;Div3;1;1;0;0;5;8.689411765;226;0.008829892
10;Leg-;Div1;0;1;0;7;4;21.31176471;1138;0.001489289
12;Leg+;Div1;0;1;0;7;4;13.68983193;667;0.002555029
13;Leg+;Div2;0;0;1;7;4;32.66428571;1949;0.000865499
14;Leg+;Div3;1;1;0;0;5;28.88218487;1679;0.000986384
16;Leg+;Div1;0;1;0;7;4;24.12815126;1204;0.001406368
17;Leg+;Div2;0;0;1;7;4;21.01369748;1279;0.001307384
18;Leg+;Div3;1;1;0;0;5;9.030168067;347;0.005305592
20;Leg+;Div1;0;1;0;7;5;24.28579832;1360;0.001233606
21;Leg-;Div2;0;0;1;7;4;16.15596639;708;0.002569143
22;Leg-;Div3;1;1;0;0;5;23.42352941;1256;0.001412186
24;Leg-;Div1;0;1;0;7;4;24.5592437;1632;0.001062066
25;Leg-;Div2;0;0;1;7;4;34.70176471;2327;0.000726638
26;Leg-;Div3;1;1;0;0;5;20.05411765;966;0.001880518
28;Leg-;Div1;0;1;0;7;4;34.1692437;2377;0.000711256
29;Leg-;Div2;0;0;1;7;4;43.78773109;3161;0.000532098
30;Leg-;Div3;1;1;0;0;5;18.35764706;799;0.002329039
31;Leg+;Div2;0;0;1;7;4;18.57579832;1014;0.00176405
32;Leg+;Div3;1;1;0;0;5;23.38966387;1212;0.00146212
34;Leg+;Div1;0;1;0;7;4;25.56605042;1420;0.001234255
35;Leg+;Div2;0;0;1;7;4;31.79327731;1752;0.000992583
36;Leg+;Div3;1;1;0;0;5;21.88411765;1167;0.00167999
38;Leg+;Div1;0;1;0;7;4;25.51672269;1409;0.001226894
39;Leg+;Div2;0;0;1;7;4;33.15915966;1809;0.000934059
40;Leg+;Div3;1;1;0;0;5;8.656470588;206;0.011816244
41;Leg-;Div1;0;1;0;0;5;42.69521008;2982;0.000569108
42;Leg+;Div2;0;0;1;7;4;34.53201681;1988;0.000884269
