no;div;leg;distance;id_jour;id_loca;id_taxo;DW;LA
6;Div1;Leg-;9;43;RT06_d+9;Lol_peren;17.1;162.418
6;Div1;Leg-;15;43;RT06_d+15;Bra_napus;88.9;653.242
6;Div1;Leg-;18;43;RT06_d+18;Ver_persi;7.79999999999995;79.421
6;Div1;Leg-;21;43;RT06_d+21;Lol_peren;38.1;424.753
7;Div2;Leg-;-24;43;RT07_d-24;Lol_peren;410.1;2528.515
7;Div2;Leg-;-21;43;RT07_d-21;Ger_disse;9.39999999999998;115.848
7;Div2;Leg-;-18;43;RT07_d-18;Ver_persi;2.49999999999989;27.703
7;Div2;Leg-;-15;43;RT07_d-15;Bra_napus;1160.6;6560.009
7;Div2;Leg-;-12;43;RT07_d-12;Lol_peren;135.9;956.178
7;Div2;Leg-;-9;43;RT07_d-9;Ger_disse;10.8;128.88
7;Div2;Leg-;-6;43;RT07_d-6;Ver_persi;1.60000000000002;21.936
7;Div2;Leg-;-3;43;RT07_d-3;Lol_peren;80.0999999999999;597.625
7;Div2;Leg-;0;43;RT07_d0;Bra_napus;4442;22769.486
7;Div2;Leg-;3;43;RT07_d+3;Ger_disse;6.69999999999993;78.176
7;Div2;Leg-;6;43;RT07_d+6;Ver_persi;5.90000000000009;47.006
7;Div2;Leg-;9;43;RT07_d+9;Lol_peren;173.4;776.297
7;Div2;Leg-;15;43;RT07_d+15;Bra_napus;765.700000000001;5290.358
7;Div2;Leg-;21;43;RT07_d+21;Lol_peren;169.1;731.692
7;Div2;Leg-;24;43;RT07_d+24;Ger_disse;3.69999999999993;79.996
8;Div3;Leg-;-24;43;RT08_d-24;Lol_peren;190.6;1210.605
8;Div3;Leg-;-21;43;RT08_d-21;Ger_disse;6.39999999999986;94.373
8;Div3;Leg-;-18;43;RT08_d-18;Ver_persi;1.60000000000002;28.307
8;Div3;Leg-;-15;43;RT08_d-15;Bra_napus;1678.4;10116.562
8;Div3;Leg-;-12;43;RT08_d-12;Lol_peren;312.8;2982.533
8;Div3;Leg-;-9;43;RT08_d-9;Ger_disse;6.89999999999998;111.741
8;Div3;Leg-;-6;43;RT08_d-6;Ver_persi;4.09999999999991;35.37
8;Div3;Leg-;-3;43;RT08_d-3;Lol_peren;305.8;999.081
8;Div3;Leg-;0;43;RT08_d0;Bra_napus;3371.7;21199.507
8;Div3;Leg-;3;43;RT08_d+3;Ger_disse;9.49999999999989;116.832
8;Div3;Leg-;6;43;RT08_d+6;Ver_persi;16.5;133.223
8;Div3;Leg-;9;43;RT08_d+9;Lol_peren;368.6;2208.601
8;Div3;Leg-;15;43;RT08_d+15;Bra_napus;7.39999999999998;
8;Div3;Leg-;18;43;RT08_d+18;Ver_persi;6.40000000000009;54.666
8;Div3;Leg-;21;43;RT08_d+21;Lol_peren;481.4;3073.166
9;Div0;Leg-;-24;42;RT09_d-24;Lol_peren;108.3;612.715
9;Div0;Leg-;-18;42;RT09_d-18;Ver_persi;2.5;29.35
9;Div0;Leg-;-15;42;RT09_d-15;Bra_napus;1796.5;11648.065
9;Div0;Leg-;-12;42;RT09_d-12;Lol_peren;345.2;1724.777
9;Div0;Leg-;-6;42;RT09_d-6;Ver_persi;5.39999999999998;64.627
9;Div0;Leg-;-3;42;RT09_d-3;Lol_peren;74.4999999999999;465.661
9;Div0;Leg-;0;42;RT09_d0;Bra_napus;2284.1;15955.24
9;Div0;Leg-;3;42;RT09_d+3;Ger_disse;11.1999999999999;111.799
9;Div0;Leg-;6;42;RT09_d+6;Ver_persi;6.30000000000007;34.348
9;Div0;Leg-;9;42;RT09_d+9;Lol_peren;659.5;3179.967
9;Div0;Leg-;21;42;RT09_d+21;Lol_peren;373.2;2658.771
10;Div1;Leg-;-24;42;RT10_d-24;Lol_peren;61.6999999999999;417.131
10;Div1;Leg-;-18;42;RT10_d-18;Ver_persi;4.79999999999995;52.349
10;Div1;Leg-;-15;42;RT10_d-15;Bra_napus;920.7;5358.881
10;Div1;Leg-;-12;42;RT10_d-12;Lol_peren;91.6000000000001;587.378
10;Div1;Leg-;-9;42;RT10_d-9;Ger_disse;10.1999999999999;
10;Div1;Leg-;-6;42;RT10_d-6;Ver_persi;17.6;229.14
10;Div1;Leg-;-3;42;RT10_d-3;Lol_peren;122;612.255
10;Div1;Leg-;0;42;RT10_d0;Bra_napus;4643.80495;25644.585
10;Div1;Leg-;3;42;RT10_d+3;Ger_disse;7.79999999999995;
10;Div1;Leg-;6;42;RT10_d+6;Ver_persi;65.8999999999999;525.118
10;Div1;Leg-;9;42;RT10_d+9;Lol_peren;353.9;1850.056
10;Div1;Leg-;12;42;RT10_d+12;Ger_disse;8.49999999999989;
10;Div1;Leg-;15;42;RT10_d+15;Bra_napus;2639;14660.407
10;Div1;Leg-;21;42;RT10_d+21;Lol_peren;36.4;220.531
11;Div0;Leg+;-24;42;RT11_d-24;Tri_alexa;37.7;284.838
11;Div0;Leg+;-21;42;RT11_d-21;Ger_disse;18.5;212.463
11;Div0;Leg+;-15;42;RT11_d-15;Bra_napus;104.2;1132.585
11;Div0;Leg+;-12;42;RT11_d-12;Lol_peren;19.4000000000001;106.03
11;Div0;Leg+;-9;42;RT11_d-9;Tri_alexa;269.5;2509.345
11;Div0;Leg+;-6;42;RT11_d-6;Ver_persi;76.6999999999998;536.598
11;Div0;Leg+;-3;41;RT11_d-3;Tri_alexa;;992.726
11;Div0;Leg+;-3;42;RT11_d-3;Tri_alexa;96.3000000000001;100.732
11;Div0;Leg+;0;42;RT11_d0;Bra_napus;5121.8;30411.524
11;Div0;Leg+;3;42;RT11_d+3;Ger_disse;11.1999999999999;147.12
11;Div0;Leg+;6;42;RT11_d+6;Tri_alexa;241;2531.61
11;Div0;Leg+;9;42;RT11_d+9;Lol_peren;230.1;1113.942
11;Div0;Leg+;12;42;RT11_d+12;Tri_alexa;98.5;947.163
11;Div0;Leg+;15;42;RT11_d+15;Bra_napus;1070.8;10031.205
11;Div0;Leg+;18;42;RT11_d+18;Ver_persi;2.70000000000005;23.993
11;Div0;Leg+;21;42;RT11_d+21;Tri_alexa;342.9;3300.93
11;Div0;Leg+;24;42;RT11_d+24;Ger_disse;10;120.785
12;Div1;Leg+;-24;42;RT12_d-24;Tri_alexa;51.4000000000002;277.687
12;Div1;Leg+;-21;42;RT12_d-21;Ger_disse;2.00000000000011;40.838
12;Div1;Leg+;-18;42;RT12_d-18;Tri_alexa;17.7;125.019
12;Div1;Leg+;-15;42;RT12_d-15;Bra_napus;521.099999999999;3187.527
12;Div1;Leg+;-12;42;RT12_d-12;Lol_peren;65.0999999999998;378.01
12;Div1;Leg+;-9;42;RT12_d-9;Tri_alexa;31.2999999999998;388.554
12;Div1;Leg+;-6;42;RT12_d-6;Ver_persi;17.8000000000001;154.556
12;Div1;Leg+;-3;42;RT12_d-3;Tri_alexa;83.6999999999999;660.986
12;Div1;Leg+;0;42;RT12_d0;Bra_napus;5999.5;33422.313
12;Div1;Leg+;9;42;RT12_d+9;Lol_peren;569.9;2385.624
12;Div1;Leg+;12;42;RT12_d+12;Tri_alexa;27.7000000000002;284.73
12;Div1;Leg+;15;42;RT12_d+15;Bra_napus;248.7;1686.944
12;Div1;Leg+;18;42;RT12_d+18;Ver_persi;3.89999999999998;40.996
12;Div1;Leg+;21;42;RT12_d+21;Tri_alexa;170.9;1399
12;Div1;Leg+;24;42;RT12_d+24;Ger_disse;17.3999999999999;152.027
13;Div2;Leg+;-24;43;RT13_d-24;Tri_alexa;13;116.198
13;Div2;Leg+;-21;43;RT13_d-21;Ger_disse;4.89999999999998;69.37
13;Div2;Leg+;-18;43;RT13_d-18;Tri_alexa;17.3;60.737
13;Div2;Leg+;-15;43;RT13_d-15;Bra_napus;2377.9;13916.771
13;Div2;Leg+;-12;43;RT13_d-12;Lol_peren;43.1;265.325
13;Div2;Leg+;-9;43;RT13_d-9;Tri_alexa;57.0000000000001;474.784
13;Div2;Leg+;-6;43;RT13_d-6;Ver_persi;5.10000000000002;57.922
13;Div2;Leg+;-3;43;RT13_d-3;Tri_alexa;46.4;428.314
13;Div2;Leg+;0;43;RT13_d0;Bra_napus;3242;20274.016
