RT;strate;leg;div;Br;Cl;SO42;NO2;NO3;F;HPO42
25;4;Leg-;Div2;0;1.8149658082475;3.59528356336214;0;37.01270636;0.495704886;0
26;1;Leg-;Div3;0;0;1.2;0;0.44;0.69;0.25
26;2;Leg-;Div3;0;3.49;1.37;0;0.92;0.52;0.56
26;3;Leg-;Div3;0;10.81;3.56;0;17.27;0.54;0.25
26;4;Leg-;Div3;0;2.84;5.87;0;33.56;0.55;0.51
27;1;Leg-;Div0;0;0;0.76;0;0.27;0.48;0.36
27;2;Leg-;Div0;0;1.3;0.72;0;0.59;0.54;0.55
27;3;Leg-;Div0;0;0.93;1.15;0;0.46;0.43;0
27;4;Leg-;Div0;0;1.11;2.22;0;15.02;0.38;0.16
28;1;Leg-;Div1;0;0.51;0.96;0;0;0.44;0
28;2;Leg-;Div1;0;0.65;1.59;0;1.54;0.63;0.55
28;3;Leg-;Div1;0;3.06;2.82;0;6.99;0.51;0.2
28;4;Leg-;Div1;0;1.93;3.29;0;29.44;0.31;1.88
29;1;Leg-;Div2;0;1.03;1.24;0;0.78;0.51;0.41
29;2;Leg-;Div2;0;0.24;1.02;0;0.96;0.49;0.59
29;3;Leg-;Div2;0;0.54;1.96;0;6;0.46;0
29;4;Leg-;Div2;0;1.53;3.39;0;28;0.23;0.28
30;1;Leg-;Div3;0;0;1.6;0;2.4;0.59;1.06
30;2;Leg-;Div3;0;1.26;1.2;0;2.82;0.54;0.48
30;3;Leg-;Div3;0;0;1.37;0;1.45;0.42;0.3
30;4;Leg-;Div3;0;2.37;3.73;0;20.57;0.43;0
31;1;Leg+;Div2;0;0;0;0;2.41023572;0.740683212;1.07248006876125
31;2;Leg+;Div2;0;1.5162549406875;0.701504340825917;0;0.20954072;0.650663754;0
31;3;Leg+;Div2;0;0.99851335;0.67339556;0;0;0.47236869973904;0.33051881
31;4;Leg+;Div2;0;1.8689418539475;1.78536358544851;0;13.3533488;0.616626546;0
32;1;Leg+;Div3;0;0.29;1.08;0;0;0.42;0.28
32;2;Leg+;Div3;0;1.32;1.09;0;0.92;0.37;0.82
32;3;Leg+;Div3;0;0.92;1.66;0;1.47;0.43;0.34
32;4;Leg+;Div3;0;1.17;3.85;0;24.96;0.35;0.18
33;1;Leg+;Div0;0;1.12367509;0.51133444;0;0.61448936;0.56288706058384;0.11648269
33;2;Leg+;Div0;0;0.41210742;0.280709;0;0;0.68043226478244;0.39993593
33;3;Leg+;Div0;0;1.76107284;1.15022924;0;2.16916262;0.69423975500416;0.51707732
33;4;Leg+;Div0;0;1.65213577;2.87680348;0;23.37097192;0.56450563957376;0.19746933
34;1;Leg+;Div1;0;1.25;1.04;0;0.41;0.53;0.32
34;2;Leg+;Div1;0;1.01;1.15;0;0.65;0.65;0.58
34;3;Leg+;Div1;0;1.48;2.52;0;0;0.55;0
34;4;Leg+;Div1;0;3.99;3.56;0;23.93;0.36;1.92
35;1;Leg+;Div2;0;0.47;1.13;0;0.76;0.6;0.35
35;2;Leg+;Div2;0;0;0.81;0;0.73;0.39;0.59
35;3;Leg+;Div2;0;1.76;1.64;0;0.85;0.44;0
35;4;Leg+;Div2;0;2.75;5.27;0;30.82;0.2;0
36;1;Leg+;Div3;0;2.74150647;0.77312548;0;1.68119948;0.61958283102144;0.41295164
36;2;Leg+;Div3;0;2.11801558;0.65157964;0;1.5374584;0.82283252864144;0.55901683
36;3;Leg+;Div3;0;3.04050396;4.3478198;0;20.18975486;0.521639137129;0.28279454
36;4;Leg+;Div3;0;4.35006661;5.27655468;0;35.70244352;0.50870886048644;0.21337742
37;1;Leg+;Div0;0;0;0.98;0;0.98;0.45;0
37;2;Leg+;Div0;0;2.21;0.73;0;1.36;0.68;0.79
37;3;Leg+;Div0;0;1.99;1.62;0;4.3;0.51;0.57
37;4;Leg+;Div0;0;2.23;3.98;0;24.39;0.68;0.59
38;1;Leg+;Div1;0;1.42;1.51;0;2.21;0.51;1.32
38;2;Leg+;Div1;0;1.2;0.96;0;3;0.5;1.51
38;3;Leg+;Div1;0;0.18;1.23;0;2.87;0.5;0.46
38;4;Leg+;Div1;0;2.99;4.62;0;21.35;0.42;0.3
39;1;Leg+;Div2;0;2.01;1.05;0;1.36;0.47;0
39;2;Leg+;Div2;0;1.72;1.16;0;1.36;0.53;0.75
39;3;Leg+;Div2;0;1.82;1.46;0;3.29;0.49;0.7
39;4;Leg+;Div2;0;0.97;2.73;0;25.74;0.47;0.49
40;1;Leg+;Div3;0;0;0.78;0;0.34;0.47;0.57
40;2;Leg+;Div3;0;2.41;0.81;0;2.45;0.74;1.07
40;3;Leg+;Div3;0;0.03;1.14;0;1.4;0.65;0.49
40;4;Leg+;Div3;0;0.1;2.98;0;17.99;0.42;0.57
41;1;Leg-;Div1;0;0;1.11;0;0;0.72;0.54
41;2;Leg-;Div1;0;0;0.939222362648928;0;1.68121501458727;0.696592300319699;0.517040502216355
41;3;Leg-;Div1;0;0.62;1.91;0;4.51;0.52;0.19
41;4;Leg-;Div1;0;1.83;3.61;0;25.18;0.33;0.47
42;1;Leg+;Div2;0;0.32;1.38;0;0;0.32;0.47
42;2;Leg+;Div2;0;1.15;0.95;0;0;0.59;0.53
42;3;Leg+;Div2;0;0.22;1.57;0;2.41;0.35;0
42;4;Leg+;Div2;0;0.78;1.68;0;0.19;0.46;0
