RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
7;Div2;Leg-;-21;43;RT07_d-21;Ger_disse;4.8
7;Div2;Leg-;-18;43;RT07_d-18;Ver_persi;4.5
7;Div2;Leg-;-15;43;RT07_d-15;Bra_napus;98.4
7;Div2;Leg-;-12;43;RT07_d-12;Lol_peren;54.2
7;Div2;Leg-;-9;43;RT07_d-9;Ger_disse;7.7
7;Div2;Leg-;-6;43;RT07_d-6;Ver_persi;4.2
7;Div2;Leg-;-3;43;RT07_d-3;Lol_peren;18.6
7;Div2;Leg-;0;43;RT07_d0;Bra_napus;94.2
7;Div2;Leg-;3;43;RT07_d+3;Ger_disse;6.5
7;Div2;Leg-;6;43;RT07_d+6;Ver_persi;9.6
7;Div2;Leg-;9;43;RT07_d+9;Lol_peren;34.7
7;Div2;Leg-;15;43;RT07_d+15;Bra_napus;33.7
7;Div2;Leg-;21;43;RT07_d+21;Lol_peren;29.7
7;Div2;Leg-;24;43;RT07_d+24;Ger_disse;2.4
8;Div3;Leg-;-24;43;RT08_d-24;Lol_peren;33.5
8;Div3;Leg-;-21;43;RT08_d-21;Ger_disse;2.7
8;Div3;Leg-;-18;43;RT08_d-18;Ver_persi;3.2
8;Div3;Leg-;-15;43;RT08_d-15;Bra_napus;81.5
8;Div3;Leg-;-9;43;RT08_d-9;Ger_disse;5
8;Div3;Leg-;-6;43;RT08_d-6;Ver_persi;18
8;Div3;Leg-;-3;43;RT08_d-3;Lol_peren;67.2
8;Div3;Leg-;0;43;RT08_d0;Bra_napus;84.5
8;Div3;Leg-;3;43;RT08_d+3;Ger_disse;8.7
8;Div3;Leg-;6;43;RT08_d+6;Ver_persi;13.5
8;Div3;Leg-;9;43;RT08_d+9;Lol_peren;11.7
8;Div3;Leg-;15;43;RT08_d+15;Bra_napus;3.2
8;Div3;Leg-;18;43;RT08_d+18;Ver_persi;4
8;Div3;Leg-;21;43;RT08_d+21;Lol_peren;39.9
9;Div0;Leg-;-24;42;RT09_d-24;Lol_peren;46.5
9;Div0;Leg-;-18;42;RT09_d-18;Ver_persi;3.2
9;Div0;Leg-;-15;42;RT09_d-15;Bra_napus;94.3
9;Div0;Leg-;-12;42;RT09_d-12;Lol_peren;59.2
9;Div0;Leg-;-6;42;RT09_d-6;Ver_persi;6.6
9;Div0;Leg-;-3;42;RT09_d-3;Lol_peren;70.6
9;Div0;Leg-;0;42;RT09_d0;Bra_napus;86.2
9;Div0;Leg-;3;42;RT09_d+3;Ger_disse;7.3
9;Div0;Leg-;6;42;RT09_d+6;Ver_persi;5.9
9;Div0;Leg-;9;42;RT09_d+9;Lol_peren;79.7
9;Div0;Leg-;21;42;RT09_d+21;Lol_peren;45.4
10;Div1;Leg-;-18;42;RT10_d-18;Ver_persi;6.8
10;Div1;Leg-;-15;42;RT10_d-15;Bra_napus;22.7
10;Div1;Leg-;-12;42;RT10_d-12;Lol_peren;14.2
10;Div1;Leg-;-9;42;RT10_d-9;Ger_disse;16.9
10;Div1;Leg-;-6;42;RT10_d-6;Ver_persi;9
10;Div1;Leg-;-3;42;RT10_d-3;Lol_peren;57.9
10;Div1;Leg-;0;42;RT10_d0;Bra_napus;96
10;Div1;Leg-;3;42;RT10_d+3;Ger_disse;3.4
10;Div1;Leg-;6;42;RT10_d+6;Ver_persi;28.4
10;Div1;Leg-;9;42;RT10_d+9;Lol_peren;46.8
10;Div1;Leg-;12;42;RT10_d+12;Ger_disse;9.9
10;Div1;Leg-;15;42;RT10_d+15;Bra_napus;94.8
10;Div1;Leg-;21;42;RT10_d+21;Lol_peren;8.2
11;Div0;Leg+;-24;42;RT11_d-24;Tri_alexa;35.3
11;Div0;Leg+;-21;42;RT11_d-21;Ger_disse;14.8
11;Div0;Leg+;-15;42;RT11_d-15;Bra_napus;42.6
11;Div0;Leg+;-12;42;RT11_d-12;Lol_peren;33.6
11;Div0;Leg+;-9;42;RT11_d-9;Tri_alexa;80
11;Div0;Leg+;-6;42;RT11_d-6;Ver_persi;34.7
11;Div0;Leg+;-3;42;RT11_d-3;Tri_alexa;38
11;Div0;Leg+;0;42;RT11_d0;Bra_napus;98
11;Div0;Leg+;3;42;RT11_d+3;Ger_disse;3.6
11;Div0;Leg+;6;42;RT11_d+6;Tri_alexa;62.3
