div;strata;leg;stoe;ratio;;;;;
div0;-75;Leg+;ln(PHO) : ln(ARY);2.93704070556093;;;;;
div1;-5;Leg+;ln(PHO) : ln(ARY);4.03164706597308;;;;;
div1;-20;Leg+;ln(PHO) : ln(ARY);3.49253630106852;;;;;
div1;-40;Leg+;ln(PHO) : ln(ARY);3.43679200501786;;;;;
div1;-75;Leg+;ln(PHO) : ln(ARY);3.24337156139809;;;;;
div2;-5;Leg+;ln(PHO) : ln(ARY);4.06827935622256;;;;;
div2;-20;Leg+;ln(PHO) : ln(ARY);3.54466884708713;;;;;
div2;-40;Leg+;ln(PHO) : ln(ARY);3.50965778984846;;;;;
div2;-75;Leg+;ln(PHO) : ln(ARY);2.75959736896653;;;;;
div3;-5;Leg+;ln(PHO) : ln(ARY);4.47407712555479;;;;;
div3;-20;Leg+;ln(PHO) : ln(ARY);3.77517596548924;;;;;
div3;-40;Leg+;ln(PHO) : ln(ARY);3.53673864217984;;;;;
div3;-75;Leg+;ln(PHO) : ln(ARY);3.07316868350498;;;;;
