"","RT","div","leg","id_taxo","FW_i","FW_f","massLoss","serie","position","PAR"
"59",28,"Div1","Leg-","Apo_icter",2.9,2.7128,0.064551724137931,"s2","8",508.333333333333
"60",28,"Div1","Leg-","Lum_terre",2.11,0,1,"s2","8",508.333333333333
"61",29,"Div2","Leg-","Apo_calig",2.98,1.7634,0.408255033557047,"s2","9",532
"62",29,"Div2","Leg-","Apo_giard",3.05,3.0031,0.0153770491803279,"s2","9",532
"63",29,"Div2","Leg-","Apo_icter",2.95,1.9355,0.343898305084746,"s2","9",532
"64",30,"Div3","Leg-","Apo_icter",3.81,2.5596,0.328188976377953,"s2","10",507.333333333333
"65",30,"Div3","Leg-","Apo_longa",1.62,1.4541,0.102407407407408,"s2","10",507.333333333333
"66",30,"Div3","Leg-","Lum_terre",3.92,0,1,"s2","10",507.333333333333
"67",31,"Div2","Leg+","Apo_calig",3,1.3175,0.560833333333333,"s2","10",523.333333333333
"68",31,"Div2","Leg+","Apo_giard",3.08,0,1,"s2","10",523.333333333333
"69",31,"Div2","Leg+","Apo_icter",2.83,0.6816,0.759151943462897,"s2","10",523.333333333333
"70",32,"Div3","Leg+","Apo_icter",4.02,2.813,0.300248756218905,"s2","9",527
"71",32,"Div3","Leg+","Apo_longa",1.79,1.363,0.23854748603352,"s2","9",527
"72",32,"Div3","Leg+","Lum_terre",2.79,0,1,"s2","9",527
"73",34,"Div1","Leg+","Apo_calig",2.91,1.4819,0.490756013745704,"s2","7",546
"74",34,"Div1","Leg+","Apo_icter",2.99,1.1284,0.622608695652174,"s2","7",546
"75",34,"Div1","Leg+","Lum_terre",2.49,0,1,"s2","7",546
"76",35,"Div2","Leg+","Apo_calig",2.99,1.5298,0.488361204013378,"s2","6",553.333333333333
"77",35,"Div2","Leg+","Apo_giard",2.69,0,1,"s2","6",553.333333333333
"78",35,"Div2","Leg+","Apo_icter",3.05,1.7648,0.421377049180328,"s2","6",553.333333333333
"79",36,"Div3","Leg+","Apo_icter",3.8,3.0664,0.193052631578947,"s2","5",584.666666666667
"80",36,"Div3","Leg+","Apo_longa",1.77,0,1,"s2","5",584.666666666667
"81",36,"Div3","Leg+","Lum_terre",3.12,3.0935,0.00849358974358973,"s2","5",584.666666666667
"82",38,"Div1","Leg+","Apo_calig",3.36,1.063,0.683630952380952,"s2","3",564
"83",38,"Div1","Leg+","Apo_icter",3.18,2.7304,0.141383647798742,"s2","3",564
"84",38,"Div1","Leg+","Lum_terre",1.82,0,1,"s2","3",564
"85",39,"Div2","Leg+","Apo_calig",3.842,1.4237,0.629437792816242,"s2","2",544
"86",39,"Div2","Leg+","Apo_giard",2.49,2.927,-0.175502008032128,"s2","2",544
"87",39,"Div2","Leg+","Apo_icter",3.0685,2.4357,0.206224539677367,"s2","2",544
"88",40,"Div3","Leg+","Apo_icter",3.89,0,1,"s2","1",488.79
"89",40,"Div3","Leg+","Apo_longa",2,0,1,"s2","1",488.79
"90",40,"Div3","Leg+","Lum_terre",2.81,2.2626,0.194804270462633,"s2","1",488.79
"91",41,"Div1","Leg-","Apo_calig",3.27,1.469,0.550764525993884,"s2","11",507.333333333333
"92",41,"Div1","Leg-","Apo_icter",2.86,2.2243,0.222272727272727,"s2","11",507.333333333333
"93",41,"Div1","Leg-","Lum_terre",2.12,1.3784,0.349811320754717,"s2","11",507.333333333333
"94",42,"Div2","Leg+","Apo_calig",2.7,0.4983,0.815444444444444,"s2","11",523.333333333333
"95",42,"Div2","Leg+","Apo_giard",2.45,0,1,"s2","11",523.333333333333
"96",42,"Div2","Leg+","Apo_icter",3.56,3.3498,0.0590449438202247,"s2","11",523.333333333333
