"","RT","div","leg","DW_tot","DW_A","DW_R","serie","position","PAR"
"1",1,"Div0","Leg-",7378.7,4855.4,2523.3,"s1","1",488.79
"2",2,"Div1","Leg-",4352.2,2995.1,1357.1,"s1","2",544
"3",3,"Div2","Leg-",6981.3,4671.5,2309.8,"s1","3",564
"4",4,"Div3","Leg-",6846.6,4444.6,2402,"s1","4",551
"5",5,"Div0","Leg-",5836.7,3723,2113.7,"s1","5",584.666666666667
"6",6,"Div1","Leg-",6688.9,4305.7,2383.2,"s1","6",553.333333333333
"7",7,"Div2","Leg-",7377.5,4918.7,2458.8,"s1","7",546
"8",8,"Div3","Leg-",6768.1,4607.8,2160.3,"s1","8",523.333333333333
"9",9,"Div0","Leg-",5666.7,3727.7,1939,"s1","9",527
"10",10,"Div1","Leg-",8983.90495,6301.20495,2682.7,"s1","10",523.333333333333
"11",11,"Div0","Leg+",7751.3,5263.8,2487.5,"s1","10",507.333333333333
"12",12,"Div1","Leg+",7828.1,5525.5,2302.6,"s1","9",532
"13",13,"Div2","Leg+",8195.3,5841.7,2353.6,"s1","8",508.333333333333
"14",14,"Div3","Leg+",6949.9395028,4517,2432.9395028,"s1","7",521.333333333333
"15",15,"Div0","Leg+",6397.2,3849.5,2547.7,"s1","6",549.666666666667
"16",16,"Div1","Leg+",7533.4,4913.9,2619.5,"s1","5",553
"17",17,"Div2","Leg+",5844.8,4002.6,1842.2,"s1","4",556
"18",18,"Div3","Leg+",5683.52874578,3996.5,1687.02874578,"s1","3",541
"19",19,"Div0","Leg+",6682.9,4800.2,1882.7,"s1","2",547.666666666667
"20",20,"Div1","Leg+",7953.2,5510.1,2443.1,"s1","1",530.333333333333
"21",21,"Div2","Leg-",8922.799626,5763.699626,3159.1,"s2","1",530.333333333333
"22",22,"Div3","Leg-",6179.57,4148.97,2030.6,"s2","2",547.666666666667
"23",23,"Div0","Leg-",5072.263541,3381.163541,1691.1,"s2","3",541
"24",24,"Div1","Leg-",6060.248491,3934.738491,2125.51,"s2","4",556
"25",25,"Div2","Leg-",6445.93,4076.93,2369,"s2","5",553
"26",26,"Div3","Leg-",4998.78,3517.58,1481.2,"s2","6",549.666666666667
"27",27,"Div0","Leg-",7614.96,4909.76,2705.2,"s2","7",521.333333333333
"28",28,"Div1","Leg-",6269.14,4142.74,2126.4,"s2","8",508.333333333333
"29",29,"Div2","Leg-",6589.71,4309.71,2280,"s2","9",532
"30",30,"Div3","Leg-",7227.36,4653.36,2574,"s2","10",507.333333333333
"31",31,"Div2","Leg+",7804.1,5142.7,2661.4,"s2","10",523.333333333333
"32",32,"Div3","Leg+",7845.86,5167.76,2678.1,"s2","9",527
"33",33,"Div0","Leg+",6293.04,4303.14,1989.9,"s2","8",523.333333333333
"34",34,"Div1","Leg+",7404.642738,5069.292738,2335.35,"s2","7",546
"35",35,"Div2","Leg+",6516.66,4337.36,2179.3,"s2","6",553.333333333333
"36",36,"Div3","Leg+",6606.99,4247.89,2359.1,"s2","5",584.666666666667
"37",37,"Div0","Leg+",5463.1,3485.9,1977.2,"s2","4",551
"38",38,"Div1","Leg+",6331.69,3728.59,2603.1,"s2","3",564
"39",39,"Div2","Leg+",6266.86,4052.06,2214.8,"s2","2",544
"40",40,"Div3","Leg+",8230.21,5436.81,2793.4,"s2","1",488.79
"41",41,"Div1","Leg-",5540.69,3787.29,1753.4,"s2","11",507.333333333333
"42",42,"Div2","Leg+",6177.39,4269.59,1907.8,"s2","11",523.333333333333
