"","RT","div","leg","id_loca","id_taxo","distance","strata","DW","FW","serie","position","PAR","numPL"
"1",1,"Div0","Leg-","RT01_d+12","Ger_disse",12,0,0.1,0,"s1","1",488.79,"13"
"2",1,"Div0","Leg-","RT01_d+12","Ger_disse",12,1,0.3,1,"s1","1",488.79,"13"
"3",1,"Div0","Leg-","RT01_d+15","Bra_napus",15,0,2216.2,1533.6,"s1","1",488.79,"14"
"4",1,"Div0","Leg-","RT01_d+15","Bra_napus",15,1,240.4,1472.8,"s1","1",488.79,"14"
"5",1,"Div0","Leg-","RT01_d+15","Bra_napus",15,2,163,1128.4,"s1","1",488.79,"14"
"6",1,"Div0","Leg-","RT01_d+15","Bra_napus",15,3,211.6,1554.6,"s1","1",488.79,"14"
"7",1,"Div0","Leg-","RT01_d+15","Bra_napus",15,4,483.8,5337.8,"s1","1",488.79,"14"
"8",1,"Div0","Leg-","RT01_d+18","Ver_persi",18,0,2.9,0,"s1","1",488.79,"15"
"9",1,"Div0","Leg-","RT01_d+18","Ver_persi",18,1,1.5,13,"s1","1",488.79,"15"
"10",1,"Div0","Leg-","RT01_d+21","Lol_peren",21,0,4.3,0,"s1","1",488.79,"16"
"11",1,"Div0","Leg-","RT01_d+21","Lol_peren",21,1,6.8,41.1,"s1","1",488.79,"16"
"12",1,"Div0","Leg-","RT01_d+21","Lol_peren",21,2,2.1,14.8,"s1","1",488.79,"16"
"13",1,"Div0","Leg-","RT01_d+3","Ger_disse",3,0,6.1,0,"s1","1",488.79,"10"
"14",1,"Div0","Leg-","RT01_d+3","Ger_disse",3,1,1.5,12.7,"s1","1",488.79,"10"
"15",1,"Div0","Leg-","RT01_d+3","Ger_disse",3,2,0.4,2.3,"s1","1",488.79,"10"
"16",1,"Div0","Leg-","RT01_d+6","Ver_persi",6,0,4.9,0,"s1","1",488.79,"11"
"17",1,"Div0","Leg-","RT01_d+6","Ver_persi",6,1,6.1,65.1,"s1","1",488.79,"11"
"18",1,"Div0","Leg-","RT01_d+6","Ver_persi",6,2,3,31.1,"s1","1",488.79,"11"
"19",1,"Div0","Leg-","RT01_d+9","Lol_peren",9,0,22,23,"s1","1",488.79,"12"
"20",1,"Div0","Leg-","RT01_d+9","Lol_peren",9,1,9.9,75.9,"s1","1",488.79,"12"
"21",1,"Div0","Leg-","RT01_d+9","Lol_peren",9,2,21.9,187,"s1","1",488.79,"12"
"22",1,"Div0","Leg-","RT01_d+9","Lol_peren",9,3,0.7,5.6,"s1","1",488.79,"12"
"23",1,"Div0","Leg-","RT01_d-12","Lol_peren",-12,0,35,27.3,"s1","1",488.79,"5"
"24",1,"Div0","Leg-","RT01_d-12","Lol_peren",-12,1,27.3,223.3,"s1","1",488.79,"5"
"25",1,"Div0","Leg-","RT01_d-12","Lol_peren",-12,2,6.9,59.8,"s1","1",488.79,"5"
"26",1,"Div0","Leg-","RT01_d-12","Lol_peren",-12,3,1,11.5,"s1","1",488.79,"5"
"27",1,"Div0","Leg-","RT01_d-15","Bra_napus",-15,0,1691.6,1835.2,"s1","1",488.79,"4"
"28",1,"Div0","Leg-","RT01_d-15","Bra_napus",-15,1,192.8,1067,"s1","1",488.79,"4"
"29",1,"Div0","Leg-","RT01_d-15","Bra_napus",-15,2,141.8,904.4,"s1","1",488.79,"4"
"30",1,"Div0","Leg-","RT01_d-15","Bra_napus",-15,3,251.5,1768.5,"s1","1",488.79,"4"
"31",1,"Div0","Leg-","RT01_d-15","Bra_napus",-15,4,368.8,4001.3,"s1","1",488.79,"4"
"32",1,"Div0","Leg-","RT01_d-18","Ver_persi",-18,0,0.6,0,"s1","1",488.79,"3"
"33",1,"Div0","Leg-","RT01_d-18","Ver_persi",-18,1,0.9,7.4,"s1","1",488.79,"3"
"34",1,"Div0","Leg-","RT01_d-18","Ver_persi",-18,2,0.1,1.1,"s1","1",488.79,"3"
"35",1,"Div0","Leg-","RT01_d-21","Ger_disse",-21,0,3.5,0,"s1","1",488.79,"2"
"36",1,"Div0","Leg-","RT01_d-21","Ger_disse",-21,1,0.9,14.4,"s1","1",488.79,"2"
"37",1,"Div0","Leg-","RT01_d-24","Lol_peren",-24,0,101.9,76.7,"s1","1",488.79,"1"
"38",1,"Div0","Leg-","RT01_d-24","Lol_peren",-24,1,57.6,462.3,"s1","1",488.79,"1"
"39",1,"Div0","Leg-","RT01_d-24","Lol_peren",-24,2,39.4,298.7,"s1","1",488.79,"1"
"40",1,"Div0","Leg-","RT01_d-3","Lol_peren",-3,0,49.8,48.4,"s1","1",488.79,"8"
"41",1,"Div0","Leg-","RT01_d-3","Lol_peren",-3,1,38.4,308.8,"s1","1",488.79,"8"
"42",1,"Div0","Leg-","RT01_d-3","Lol_peren",-3,2,37.8,309.3,"s1","1",488.79,"8"
"43",1,"Div0","Leg-","RT01_d-3","Lol_peren",-3,3,1.8,14.5,"s1","1",488.79,"8"
"44",1,"Div0","Leg-","RT01_d-6","Ver_persi",-6,0,2.1,0,"s1","1",488.79,"7"
"45",1,"Div0","Leg-","RT01_d-6","Ver_persi",-6,1,1.1,10.1,"s1","1",488.79,"7"
"46",1,"Div0","Leg-","RT01_d-6","Ver_persi",-6,2,0.5,3.6,"s1","1",488.79,"7"
"47",1,"Div0","Leg-","RT01_d-9","Ger_disse",-9,0,1.6,0,"s1","1",488.79,"6"
"48",1,"Div0","Leg-","RT01_d-9","Ger_disse",-9,1,0.5,4.8,"s1","1",488.79,"6"
"49",1,"Div0","Leg-","RT01_d0","Bra_napus",0,0,712.8,723.7,"s1","1",488.79,"9"
"50",1,"Div0","Leg-","RT01_d0","Bra_napus",0,1,55.9,352.7,"s1","1",488.79,"9"
"51",1,"Div0","Leg-","RT01_d0","Bra_napus",0,2,51.2,406.7,"s1","1",488.79,"9"
"52",1,"Div0","Leg-","RT01_d0","Bra_napus",0,3,59.8,545,"s1","1",488.79,"9"
"53",1,"Div0","Leg-","RT01_d0","Bra_napus",0,4,34.3,407.9,"s1","1",488.79,"9"
"54",2,"Div1","Leg-","RT02_d+15","Bra_napus",15,0,850.2,847,"s1","2",544,"14"
"55",2,"Div1","Leg-","RT02_d+15","Bra_napus",15,1,64.1,405.9,"s1","2",544,"14"
"56",2,"Div1","Leg-","RT02_d+15","Bra_napus",15,2,89.3,735.5,"s1","2",544,"14"
"57",2,"Div1","Leg-","RT02_d+15","Bra_napus",15,3,99.4,1118.6,"s1","2",544,"14"
"58",2,"Div1","Leg-","RT02_d+15","Bra_napus",15,4,112.4,1434.8,"s1","2",544,"14"
"59",2,"Div1","Leg-","RT02_d+18","Ver_persi",18,1,1,12.2,"s1","2",544,"15"
"60",2,"Div1","Leg-","RT02_d+21","Lol_peren",21,0,13.3,18.8,"s1","2",544,"16"
"61",2,"Div1","Leg-","RT02_d+21","Lol_peren",21,1,10.8,87.3,"s1","2",544,"16"
"62",2,"Div1","Leg-","RT02_d+21","Lol_peren",21,2,0.5,4.3,"s1","2",544,"16"
"63",2,"Div1","Leg-","RT02_d+6","Ver_persi",6,0,5,0,"s1","2",544,"11"
"64",2,"Div1","Leg-","RT02_d+6","Ver_persi",6,1,4.2,47.7,"s1","2",544,"11"
"65",2,"Div1","Leg-","RT02_d+9","Lol_peren",9,0,47.1,42.41245136,"s1","2",544,"12"
"66",2,"Div1","Leg-","RT02_d+9","Lol_peren",9,1,26.4,193,"s1","2",544,"12"
"67",2,"Div1","Leg-","RT02_d+9","Lol_peren",9,2,23.5,177.5,"s1","2",544,"12"
"68",2,"Div1","Leg-","RT02_d+9","Lol_peren",9,3,1.9,22.8,"s1","2",544,"12"
"69",2,"Div1","Leg-","RT02_d-12","Lol_peren",-12,0,23.7,31.5,"s1","2",544,"5"
"70",2,"Div1","Leg-","RT02_d-12","Lol_peren",-12,1,9.9,61,"s1","2",544,"5"
"71",2,"Div1","Leg-","RT02_d-12","Lol_peren",-12,2,3.6,30.1,"s1","2",544,"5"
"72",2,"Div1","Leg-","RT02_d-15","Bra_napus",-15,0,122.5,198.6,"s1","2",544,"4"
"73",2,"Div1","Leg-","RT02_d-15","Bra_napus",-15,1,31.4,197.4,"s1","2",544,"4"
"74",2,"Div1","Leg-","RT02_d-15","Bra_napus",-15,2,9.3,85.01671936,"s1","2",544,"4"
"75",2,"Div1","Leg-","RT02_d-18","Ver_persi",-18,0,12.9,0,"s1","2",544,"3"
"76",2,"Div1","Leg-","RT02_d-18","Ver_persi",-18,1,5.4,61.4,"s1","2",544,"3"
"77",2,"Div1","Leg-","RT02_d-24","Lol_peren",-24,0,100.9,51,"s1","2",544,"1"
"78",2,"Div1","Leg-","RT02_d-24","Lol_peren",-24,1,38.7,315.7,"s1","2",544,"1"
"79",2,"Div1","Leg-","RT02_d-24","Lol_peren",-24,2,39.3,455.8,"s1","2",544,"1"
"80",2,"Div1","Leg-","RT02_d-24","Lol_peren",-24,3,1.6,14.8,"s1","2",544,"1"
"81",2,"Div1","Leg-","RT02_d-3","Lol_peren",-3,0,281.7,136.6,"s1","2",544,"8"
"82",2,"Div1","Leg-","RT02_d-3","Lol_peren",-3,1,56.5,428.2,"s1","2",544,"8"
"83",2,"Div1","Leg-","RT02_d-3","Lol_peren",-3,2,8,52.4,"s1","2",544,"8"
"84",2,"Div1","Leg-","RT02_d-6","Ver_persi",-6,0,2.3,0,"s1","2",544,"7"
"85",2,"Div1","Leg-","RT02_d-6","Ver_persi",-6,1,0.4,6.8,"s1","2",544,"7"
"86",2,"Div1","Leg-","RT02_d0","Bra_napus",0,0,1535.5,1588.2,"s1","2",544,"9"
"87",2,"Div1","Leg-","RT02_d0","Bra_napus",0,1,130.3,868.2,"s1","2",544,"9"
"88",2,"Div1","Leg-","RT02_d0","Bra_napus",0,2,299.5,2231.9,"s1","2",544,"9"
"89",2,"Div1","Leg-","RT02_d0","Bra_napus",0,3,204.5,1949.3,"s1","2",544,"9"
"90",2,"Div1","Leg-","RT02_d0","Bra_napus",0,4,85.2,1336.8,"s1","2",544,"9"
"91",3,"Div2","Leg-","RT03_d+15","Bra_napus",15,0,570,532.6,"s1","3",564,"14"
"92",3,"Div2","Leg-","RT03_d+15","Bra_napus",15,1,45.5,234.6,"s1","3",564,"14"
"93",3,"Div2","Leg-","RT03_d+15","Bra_napus",15,2,86.1,532.4,"s1","3",564,"14"
"94",3,"Div2","Leg-","RT03_d+15","Bra_napus",15,3,83.7,509.6,"s1","3",564,"14"
"95",3,"Div2","Leg-","RT03_d+15","Bra_napus",15,4,66.8,783.4,"s1","3",564,"14"
"96",3,"Div2","Leg-","RT03_d+21","Lol_peren",21,0,60.3,37.7,"s1","3",564,"16"
"97",3,"Div2","Leg-","RT03_d+21","Lol_peren",21,1,31.7,239.4,"s1","3",564,"16"
"98",3,"Div2","Leg-","RT03_d+21","Lol_peren",21,2,21.1,78,"s1","3",564,"16"
"99",3,"Div2","Leg-","RT03_d+21","Lol_peren",21,3,1.6,8.4,"s1","3",564,"16"
