id_loca;id_DivFonct VDT;id_assem végétal;id_taxo;biological division;FW;DW;LA;LDMC;SLA;LT
RT11_d-12;Div0;Leg+;Lol_peren;Leaf1;16.2;3.6;70.424;222.222222;19.5622222;0.23003522
RT11_d-15;Div0;Leg+;Bra_napus;Leaf2;206.3;44.2;492.089;214.251091;11.1332353;0.41923311
RT11_d-24;Div0;Leg+;Tri_alexa;Leaf2;16.4;3.5;97.811;214.000000;27.9460000;0.16721167
RT11_d-3;Div0;Leg+;Tri_alexa;Leaf4;36.6;9.0;284.595;245.901639;31.6216667;0.12860381
RT11_d-9;Div0;Leg+;Tri_alexa;Leaf5;108.5;24.6;557.429;226.728111;22.6597154;0.19464362
RT12_d+12;Div1;Leg+;Tri_alexa;Leaf2;16.4;3.1;103.206;189.024390;33.2922581;0.15890549
RT12_d+15;Div1;Leg+;Bra_napus;Leaf4;199.8;49.8;363.093;249.249249;7.2910241;0.55027224
RT12_d+21;Div1;Leg+;Tri_alexa;Leaf4;54.4;13.6;311.421;250.000000;22.8986029;0.17468315
RT12_d+9;Div1;Leg+;Lol_peren;Leaf4;70.4;21.4;225.964;303.977273;10.5590654;0.31155405
RT12_d0;Div1;Leg+;Bra_napus;Leaf5;3382.0;665.3;6311.714;196.717918;9.4870194;0.53582909
RT12_d-12;Div1;Leg+;Lol_peren;Leaf3;31.5;6.8;109.495;215.873016;16.1022059;0.28768437
RT12_d-15;Div1;Leg+;Bra_napus;Leaf3;421.5;123.1;896.501;292.052195;7.2827051;0.47016122
RT12_d-18;Div1;Leg+;Tri_alexa;Leaf1;10.3;2.4;80.167;233.009709;33.4029167;0.12848179
RT12_d-24;Div1;Leg+;Tri_alexa;Leaf2;16.5;4.1;103.079;248.484848;25.1412195;0.16007140
RT12_d-3;Div1;Leg+;Tri_alexa;Leaf3;24.2;6.3;163.397;260.330579;25.9360317;0.14810553
RT12_d-9;Div1;Leg+;Tri_alexa;Leaf2;18.7;4.2;136.252;224.598930;32.4409524;0.13724569
RT13_d+12;Div2;Leg+;Tri_alexa;Leaf1;9.2;1.8;65.743;195.652174;36.5238889;0.13993885
RT13_d+15;Div2;Leg+;Bra_napus;Leaf3;1045.5;244.7;2069.811;234.050693;8.4585656;0.50511858
RT13_d+21;Div2;Leg+;Tri_alexa;Leaf4;28.4;6.9;158.293;242.957746;22.9410145;0.17941412
RT13_d+6;Div2;Leg+;Tri_alexa;Leaf4;26.4;5.9;175.723;223.484848;29.7835593;0.15023645
RT13_d+9;Div2;Leg+;Lol_peren;Leaf3;103.7;29.0;408.177;279.652845;14.0750690;0.25405645
RT13_d0;Div2;Leg+;Bra_napus;Leaf4;2230.4;461.3;2765.371;206.823888;5.9947344;0.80654639
RT13_d-12;Div2;Leg+;Lol_peren;Leaf3;23.3;6.9;123.314;296.137339;17.8715942;0.18894854
RT13_d-15;Div2;Leg+;Bra_napus;Leaf3;859.0;241.7;2108.365;281.373690;8.7230658;0.40742471
RT13_d-18;Div2;Leg+;Tri_alexa;Leaf1;10.3;2.2;60.737;213.592233;27.6077273;0.16958361
RT13_d-24;Div2;Leg+;Tri_alexa;Leaf2;9.8;2.1;63.311;214.285714;30.1480952;0.15479143
RT13_d-3;Div2;Leg+;Tri_alexa;Leaf3;16.4;3.8;111.390;231.707317;29.3131579;0.14723045
RT13_d-9;Div2;Leg+;Tri_alexa;Leaf4;19.2;5.0;119.751;260.416667;23.9502000;0.16033269
RT14_d+12;Div3;Leg+;Tri_alexa;Leaf1;12.2;2.6;78.678;213.114754;30.2607692;0.15506241
RT14_d+15;Div3;Leg+;Bra_napus;Leaf4;1104.7;253.7;2286.097;229.655110;9.0110248;0.48322534
RT14_d+6;Div3;Leg+;Tri_alexa;Leaf1;11.7;2.8;84.110;239.316239;30.0392857;0.13910355
RT14_d+9;Div3;Leg+;Lol_peren;Leaf2;51.1;8.6;211.570;168.297456;24.6011628;0.24152763
RT14_d0;Div3;Leg+;Bra_napus;Leaf3;2262.2;481.7;4166.798;212.934312;8.6501931;0.54291089
RT14_d-12;Div3;Leg+;Lol_peren;Leaf3;74.0;17.1;278.848;231.081081;16.3069006;0.26537755
RT14_d-15;Div3;Leg+;Bra_napus;Leaf3;334.9;69.6;820.112;207.823231;11.7832184;0.40835886
RT14_d-3;Div3;Leg+;Tri_alexa;Leaf1;11.7;3.1;83.025;264.957265;26.7822581;0.14092141
RT14_d-9;Div3;Leg+;Tri_alexa;Leaf4;61.9;11.7;321.009;189.014540;27.4366667;0.19282948
RT15_d+15;Div0;Leg+;Bra_napus;Leaf3;1079.5;198.8;2165.249;184.159333;10.8915946;0.49855698
RT15_d+21;Div0;Leg+;Tri_alexa;Leaf4;63.5;13.6;331.094;214.173228;24.3451471;0.19178843
RT15_d+9;Div0;Leg+;Lol_peren;Leaf3;82.9;20.8;366.400;250.904704;17.6153846;0.22625546
RT15_d0;Div0;Leg+;Bra_napus;Leaf3;1810.5;319.8;3826.643;176.636288;11.9657380;0.47313010
RT15_d-12;Div0;Leg+;Lol_peren;Leaf3;33.4;6.8;164.793;203.592814;24.2342647;0.20267851
RT15_d-15;Div0;Leg+;Bra_napus;Leaf2;442.9;123.6;721.269;279.069767;5.8355097;0.61405661
RT15_d-24;Div0;Leg+;Tri_alexa;Leaf3;14.5;4.0;95.927;275.862069;23.9817500;0.15115661
RT15_d-3;Div0;Leg+;Tri_alexa;Leaf3;16.4;3.5;132.978;214.000000;37.9937143;0.12299132
RT16_d+12;Div1;Leg+;Tri_alexa;Leaf3;23.2;5.5;164.287;237.068966;29.8703636;0.14121629
RT16_d+15;Div1;Leg+;Bra_napus;Leaf3;1564.0;396.3;3116.464;253.388747;7.8639011;0.50185082
RT16_d+21;Div1;Leg+;Tri_alexa;Leaf2;5.4;1.3;57.490;240.740741;44.2230769;0.09392938
RT16_d+6;Div1;Leg+;Tri_alexa;Leaf1;16.4;3.3;113.738;201.219512;34.4660606;0.14419104
RT16_d+9;Div1;Leg+;Lol_peren;Leaf5;60.5;17.0;199.242;280.991736;11.7201176;0.30365084
RT16_d0;Div1;Leg+;Bra_napus;Leaf4;2163.3;484.1;4101.857;223.778487;8.4731605;0.52739527
RT16_d-12;Div1;Leg+;Lol_peren;Leaf2;16.8;3.7;94.575;220.238095;25.5608108;0.17763680
RT16_d-18;Div1;Leg+;Tri_alexa;Leaf2;13.6;3.9;82.653;286.764706;21.1930769;0.16454333
RT16_d-24;Div1;Leg+;Tri_alexa;Leaf1;9.4;2.0;66.475;212.765957;33.2375000;0.14140654
RT17_d+21;Div2;Leg+;Tri_alexa;Leaf2;53.8;11.4;273.165;211.895911;23.9618421;0.19695056
RT17_d+6;Div2;Leg+;Tri_alexa;Leaf2;32.1;6.4;211.030;199.376947;32.9734375;0.15211107
RT17_d+9;Div2;Leg+;Lol_peren;Leaf4;141.8;41.2;532.095;290.550071;12.9149272;0.26649377
RT17_d0;Div2;Leg+;Bra_napus;Leaf4;199.0;47.0;481.199;236.180905;10.2382766;0.41355032
RT17_d-12;Div2;Leg+;Lol_peren;Leaf4;91.1;23.0;397.951;252.469813;17.3022174;0.22892266
RT17_d-15;Div2;Leg+;Bra_napus;Leaf3;2655.0;490.9;3338.113;184.896422;6.7999857;0.79535953
RT17_d-18;Div2;Leg+;Tri_alexa;Leaf1;13.9;2.8;113.405;202.000000;40.5017857;0.12222906
RT17_d-24;Div2;Leg+;Tri_alexa;Leaf1;15.0;2.9;109.245;193.333333;37.6706897;0.13730606
RT17_d-3;Div2;Leg+;Tri_alexa;Leaf5;123.9;24.3;620.401;196.125908;25.5309053;0.19970954
RT17_d-9;Div2;Leg+;Tri_alexa;Leaf2;14.5;3.0;103.439;206.896552;34.4796667;0.14017924
RT18_d+12;Div3;Leg+;Tri_alexa;Leaf1;6.8;1.9;66.208;279.411765;34.8463158;0.10270662
RT18_d+15;Div3;Leg+;Bra_napus;Leaf3;904.4;173.9;2180.699;192.282176;12.5399597;0.41472941
RT18_d+21;Div3;Leg+;Tri_alexa;Leaf2;20.0;5.6;138.337;280.000000;24.7030357;0.14457448
RT18_d+6;Div3;Leg+;Tri_alexa;Leaf4;22.6;4.9;146.491;216.814159;29.8961224;0.15427569
RT18_d+9;Div3;Leg+;Lol_peren;Leaf3;78.7;16.3;305.662;207.115629;18.7522699;0.25747394
RT18_d0;Div3;Leg+;Bra_napus;Leaf3;1758.7;274.0;2896.070;155.796895;10.5695985;0.60727123
RT18_d-12;Div3;Leg+;Lol_peren;Leaf3;39.7;8.0;205.036;201.511335;25.6295000;0.19362453
RT18_d-15;Div3;Leg+;Bra_napus;Leaf3;660.1;127.4;1457.839;193.000000;11.4430063;0.45279597
RT18_d-18;Div3;Leg+;Tri_alexa;Leaf2;35.7;7.8;219.639;218.487395;28.1588462;0.16253944
RT18_d-24;Div3;Leg+;Tri_alexa;Leaf2;15.1;3.8;107.035;251.655629;28.1671053;0.14107535
RT18_d-3;Div3;Leg+;Tri_alexa;Leaf2;8.7;2.0;45.501;229.885057;22.7505000;0.19120459
RT19_d+12;Div0;Leg+;Tri_alexa;Leaf1;15.2;2.8;104.226;184.210526;37.2235714;0.14583693
RT19_d+15;Div0;Leg+;Bra_napus;Leaf3;1241.8;361.4;2245.548;291.029151;6.2134698;0.55300532
RT19_d+6;Div0;Leg+;Tri_alexa;Leaf1;6.9;1.9;67.811;275.362319;35.6900000;0.10175340
RT19_d+9;Div0;Leg+;Lol_peren;Leaf3;30.8;12.8;210.462;415.584416;16.4423438;0.14634471
RT19_d0;Div0;Leg+;Bra_napus;Leaf4;2102.2;336.3;3790.703;159.975264;11.2717901;0.55456732
RT19_d-12;Div0;Leg+;Lol_peren;Leaf3;37.2;10.6;127.405;284.946237;12.0193396;0.29198226
RT19_d-15;Div0;Leg+;Bra_napus;Leaf3;940.4;246.1;1949.528;261.697150;7.9216904;0.48237317
RT19_d-18;Div0;Leg+;Tri_alexa;Leaf3;34.4;4.7;121.838;136.627907;25.9229787;0.28234213
RT19_d-3;Div0;Leg+;Tri_alexa;Leaf2;7.5;1.5;61.094;200.000000;40.7293333;0.12276165
RT19_d-9;Div0;Leg+;Tri_alexa;Leaf2;11.3;2.3;61.204;203.539823;26.6104348;0.18462846
RT20_d+12;Div1;Leg+;Tri_alexa;Leaf3;43.8;10.9;291.632;248.858447;26.7552294;0.15018928
RT20_d+15;Div1;Leg+;Bra_napus;Leaf3;767.4;197.4;1568.336;257.232213;7.9449645;0.48930841
RT20_d+21;Div1;Leg+;Tri_alexa;Leaf1;20.3;4.7;126.182;231.527094;26.8472340;0.16087873
RT20_d+6;Div1;Leg+;Tri_alexa;Leaf1;13.9;3.3;104.024;237.410072;31.5224242;0.13362301
RT20_d+9;Div1;Leg+;Lol_peren;Leaf3;114.1;34.8;501.651;304.995618;14.4152586;0.22744896
RT20_d0;Div1;Leg+;Bra_napus;Leaf3;1818.8;427.0;2522.281;234.770178;5.9069813;0.72109333
RT20_d-12;Div1;Leg+;Lol_peren;Leaf3;81.9;23.8;360.775;290.598291;15.1586134;0.22701130
RT20_d-15;Div1;Leg+;Bra_napus;Leaf3;2111.9;399.5;2724.103;189.166154;6.8187810;0.77526437
RT20_d-18;Div1;Leg+;Tri_alexa;Leaf1;7.4;1.5;57.475;202.702703;38.3166667;0.12875163
RT20_d-24;Div1;Leg+;Tri_alexa;Leaf4;21.5;4.1;123.921;190.697674;30.2246341;0.17349763
RT20_d-3;Div1;Leg+;Tri_alexa;Leaf1;11.7;2.7;88.842;230.769231;32.9044444;0.13169447
RT20_d-9;Div1;Leg+;Tri_alexa;Leaf4;18.9;5.1;119.472;269.841270;23.4258824;0.15819606
