id_loca;id_DivFonct VDT;id_assem végétal;id_taxo;biological division;FW;DW;LA;LDMC;SLA;LT
RT01_d+15;Div0;Leg-;Bra_napus;Leaf2;1533.6;306.5;2232.739;199.856547;7.2846297;0.68686936
RT01_d+9;Div0;Leg-;Lol_peren;Leaf3;23.0;6.2;138.934;269.565217;22.4087097;0.16554623
RT01_d0;Div0;Leg-;Bra_napus;Leaf3;723.7;192.6;1527.935;266.132375;7.9332035;0.47364580
RT01_d-12;Div0;Leg-;Lol_peren;Leaf3;27.3;4.4;165.735;161.172161;37.6670455;0.16472079
RT01_d-15;Div0;Leg-;Bra_napus;Leaf3;1835.2;369.8;NA;201.503923;NA;NA
RT01_d-24;Div0;Leg-;Lol_peren;Leaf3;76.7;20.7;295.682;269.882660;14.2841546;0.25940030
RT01_d-3;Div0;Leg-;Lol_peren;Leaf3;48.4;12.4;254.611;256.198347;20.5331452;0.19009391
RT02_d+15;Div1;Leg-;Bra_napus;Leaf3;847.0;172.4;1267.068;203.541913;7.3495824;0.66847241
RT02_d+21;Div1;Leg-;Lol_peren;Leaf2;18.8;4.1;100.500;218.085106;24.5121951;0.18706468
RT02_d+9;Div1;Leg-;Lol_peren;Leaf3;42.4;10.9;219.128;257.000000;20.1034862;0.19355104
RT02_d0;Div1;Leg-;Bra_napus;Leaf3;1588.2;262.4;3854.121;165.218486;14.6879611;0.41207840
RT02_d-12;Div1;Leg-;Lol_peren;Leaf2;31.5;6.7;173.269;212.698413;25.8610448;0.18179824
RT02_d-15;Div1;Leg-;Bra_napus;Leaf3;198.6;34.9;594.770;175.730111;17.0421203;0.33391059
RT02_d-24;Div1;Leg-;Lol_peren;Leaf4;51.0;9.8;218.605;192.156863;22.3066327;0.23329750
RT02_d-3;Div1;Leg-;Lol_peren;Leaf4;136.6;25.9;516.568;189.604685;19.9447104;0.26443760
RT03_d+15;Div2;Leg-;Bra_napus;Leaf3;532.6;99.6;1326.225;187.007135;13.3155120;0.40159098
RT03_d+21;Div2;Leg-;Lol_peren;Leaf3;37.7;10.1;173.037;267.904509;17.1323762;0.21787248
RT03_d+9;Div2;Leg-;Lol_peren;Leaf4;62.8;14.8;287.763;235.668790;19.4434459;0.21823514
RT03_d0;Div2;Leg-;Bra_napus;Leaf3;1779.7;315.2;3731.657;177.108501;11.8390133;0.47691950
RT03_d-12;Div2;Leg-;Lol_peren;Leaf5;75.5;18.9;341.816;250.331126;18.0855026;0.22087907
RT03_d-15;Div2;Leg-;Bra_napus;Leaf2;1096.3;223.1;1344.314;203.502691;6.0256118;0.81550888
RT03_d-24;Div2;Leg-;Lol_peren;Leaf4;48.7;14.2;211.208;291.581109;14.8738028;0.23057839
RT03_d-3;Div2;Leg-;Lol_peren;Leaf2;9.9;2.0;58.965;202.020202;29.4825000;0.16789621
RT04_d+15;Div3;Leg-;Bra_napus;Leaf2;295.4;66.5;978.259;225.118483;14.7106617;0.30196502
RT04_d+21;Div3;Leg-;Lol_peren;Leaf3;79.9;21.5;315.298;269.086358;14.6650233;0.25341106
RT04_d+9;Div3;Leg-;Lol_peren;Leaf2;53.2;12.0;285.510;225.563910;23.7925000;0.18633323
RT04_d0;Div3;Leg-;Bra_napus;Leaf3;2837.3;503.5;4203.341;177.457442;8.3482443;0.67501066
RT04_d-12;Div3;Leg-;Lol_peren;Leaf4;81.1;22.3;319.359;274.969174;14.3210314;0.25394619
RT04_d-15;Div3;Leg-;Bra_napus;Leaf3;315.0;78.1;723.827;247.936508;9.2679513;0.43518686
RT04_d-24;Div3;Leg-;Lol_peren;Leaf3;157.6;33.9;621.136;215.101523;18.3225959;0.25372865
RT04_d-3;Div3;Leg-;Lol_peren;Leaf3;51.3;8.8;239.281;171.539961;27.1910227;0.21439228
RT05_d+15;Div0;Leg-;Bra_napus;Leaf2;350.9;81.5;762.322;232.259903;9.3536442;0.46030418
RT05_d+21;Div0;Leg-;Lol_peren;Leaf2;34.4;7.2;165.241;209.302326;22.9501389;0.20818078
RT05_d+9;Div0;Leg-;Lol_peren;Leaf1;11.6;2.6;55.034;224.137931;21.1669231;0.21077879
RT05_d0;Div0;Leg-;Bra_napus;Leaf3;2457.1;389.6;4317.500;158.560905;11.0818789;0.56910249
RT05_d-12;Div0;Leg-;Lol_peren;Leaf5;44.2;22.5;272.774;509.049774;12.1232889;0.16203890
RT05_d-24;Div0;Leg-;Lol_peren;Leaf4;81.1;16.2;208.397;199.753391;12.8640123;0.38916107
RT05_d-3;Div0;Leg-;Lol_peren;Leaf4;43.4;19.5;346.175;449.308756;17.7525641;0.12537012
RT06_d+21;Div1;Leg-;Lol_peren;Leaf2;22.2;5.7;146.496;257.000000;25.7010526;0.15139655
RT06_d+9;Div1;Leg-;Lol_peren;Leaf2;13.0;1.8;76.480;138.461538;42.4888889;0.16997908
RT06_d0;Div1;Leg-;Bra_napus;Leaf4;2395.2;450.3;3463.886;188.000000;7.6923962;0.69148141
RT06_d-12;Div1;Leg-;Lol_peren;Leaf4;36.6;8.4;195.444;229.508197;23.2671429;0.18726592
RT06_d-15;Div1;Leg-;Bra_napus;Leaf2;1675.5;255.6;2012.150;152.551477;7.8722613;0.83269140
RT06_d-24;Div1;Leg-;Lol_peren;Leaf3;59.5;13.6;293.980;228.571429;21.6161765;0.20239472
RT06_d-3;Div1;Leg-;Lol_peren;Leaf3;38.2;9.2;166.701;240.837696;18.1196739;0.22915279
RT07_d+15;Div2;Leg-;Bra_napus;Leaf4;596.9;189.5;1266.059;317.473614;6.6810501;0.47146302
RT07_d+21;Div2;Leg-;Lol_peren;Leaf3;57.5;15.2;259.097;264.347826;17.0458553;0.22192461
RT07_d+9;Div2;Leg-;Lol_peren;Leaf3;72.4;13.9;339.352;191.988950;24.4138129;0.21334779
RT07_d0;Div2;Leg-;Bra_napus;Leaf3;2180.0;366.3;3653.197;168.027523;9.9732378;0.59673760
RT07_d-12;Div2;Leg-;Lol_peren;Leaf4;53.2;15.7;261.493;295.112782;16.6556051;0.20344713
RT07_d-15;Div2;Leg-;Bra_napus;Leaf3;639.2;164.8;1396.842;257.822278;8.4759830;0.45760365
RT07_d-3;Div2;Leg-;Lol_peren;Leaf3;33.2;8.7;182.772;262.048193;21.0082759;0.18164708
RT08_d+21;Div3;Leg-;Lol_peren;Leaf4;175.0;30.3;567.509;173.142857;18.7296700;0.30836515
RT08_d+9;Div3;Leg-;Lol_peren;Leaf3;92.2;18.8;325.243;203.904555;17.3001596;0.28348035
RT08_d0;Div3;Leg-;Bra_napus;Leaf3;2265.5;481.7;3580.374;212.624145;7.4327880;0.63275513
RT08_d-12;Div3;Leg-;Lol_peren;Leaf3;125.7;30.9;440.119;245.823389;14.2433333;0.28560458
RT08_d-15;Div3;Leg-;Bra_napus;Leaf3;977.7;185.0;2181.343;189.219597;11.7910432;0.44821012
RT08_d-24;Div3;Leg-;Lol_peren;Leaf2;58.5;13.3;227.981;227.350427;17.1414286;0.25660033
RT08_d-3;Div3;Leg-;Lol_peren;Leaf3;62.2;15.8;300.703;254.019293;19.0318354;0.20684862
RT09_d+21;Div0;Leg-;Lol_peren;Leaf4;123.1;30.5;434.274;247.766044;14.2384918;0.28346159
RT09_d+9;Div0;Leg-;Lol_peren;Leaf4;76.5;23.6;269.708;308.496732;11.4283051;0.28364008
RT09_d0;Div0;Leg-;Bra_napus;Leaf4;1960.1;343.0;2298.757;174.991072;6.7019155;0.85267821
RT09_d-12;Div0;Leg-;Lol_peren;Leaf3;67.5;18.0;232.241;266.666667;12.9022778;0.29064635
RT09_d-15;Div0;Leg-;Bra_napus;Leaf3;1425.7;254.6;2373.264;178.578944;9.3215397;0.60073384
RT09_d-24;Div0;Leg-;Lol_peren;Leaf3;38.2;9.3;187.013;243.455497;20.1089247;0.20426387
RT09_d-3;Div0;Leg-;Lol_peren;Leaf3;30.6;8.4;165.013;274.509804;19.6444048;0.18543994
RT10_d+15;Div1;Leg-;Bra_napus;Leaf4;1277.8;286.7;3076.054;224.370011;10.7291734;0.41540233
RT10_d+21;Div1;Leg-;Lol_peren;Leaf2;22.4;5.9;88.482;263.392857;14.9969492;0.25315883
RT10_d+9;Div1;Leg-;Lol_peren;Leaf7;36.2;22.2;306.997;613.259669;13.8286937;0.11791646
RT10_d0;Div1;Leg-;Bra_napus;Leaf4;1873.0;22.6;4355.525;12.066204;192.7223451;0.43002853
RT10_d-12;Div1;Leg-;Lol_peren;Leaf3;28.2;9.9;181.219;351.063830;18.3049495;0.15561282
RT10_d-15;Div1;Leg-;Bra_napus;Leaf3;691.4;209.2;1538.939;302.574487;7.3563050;0.44927057
RT10_d-24;Div1;Leg-;Lol_peren;Leaf3;28.2;6.7;128.584;237.588652;19.1916418;0.21931189
RT10_d-3;Div1;Leg-;Lol_peren;Leaf3;37.7;10.2;106.172;270.557029;10.4090196;0.35508420
RT11_d+12;Div0;Leg+;Tri_alexa;Leaf3;49.8;9.6;259.889;192.771084;27.0717708;0.19162027
RT11_d+15;Div0;Leg+;Bra_napus;Leaf4;871.1;130.7;2153.454;150.040179;16.4763122;0.40451294
RT11_d+21;Div0;Leg+;Tri_alexa;Leaf6;103.2;23.4;604.392;226.744186;25.8287179;0.17075011
RT11_d+6;Div0;Leg+;Tri_alexa;Leaf5;108.6;21.8;592.485;200.736648;27.1782110;0.18329578
RT11_d+9;Div0;Leg+;Lol_peren;Leaf3;78.5;15.4;312.785;196.178344;20.3107143;0.25097111
RT11_d0;Div0;Leg+;Bra_napus;Leaf4;3000.6;580.9;5323.186;193.594614;9.1636874;0.56368498
